motif_id	tf_name	tf_class	tf_family	tf_subfamily
AHR_HUMAN.H11MO.0.B	AHR	basic helix-loop-helix (bHLH)	PAS domain factors	Ahr-like factors
AIRE_HUMAN.H11MO.0.C	AIRE	SAND domain factors	AIRE	AIRE
ALX1_HUMAN.H11MO.0.B	ALX1	homeo domain factors		paired-related HD factors	ALX
ANDR_HUMAN.H11MO.0.A	ANDR	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	GR-like receptors (NR3C)
AP2A_HUMAN.H11MO.0.A	AP2A	basic helix-span-helix (bHSH) factors	AP2
AP2B_HUMAN.H11MO.0.B	AP2B	basic helix-span-helix (bHSH) factors	AP2
AP2C_HUMAN.H11MO.0.A	AP2C	basic helix-span-helix (bHSH) factors	AP2
ARI5B_HUMAN.H11MO.0.C	ARI5B	ARID domain factors	ARID-related factors	ARID5
ARNT_HUMAN.H11MO.0.B	ARNT	basic helix-loop-helix (bHLH) factors	PAS domain factors	Arnt-like factors
ASCL1_HUMAN.H11MO.0.A	ASCL1	basic helix-loop-helix (bHLH) factors	MyoD/ASC-related factors	Achaete-Scute-like factors
M08055_2.00	ASCL1	basic helix-loop-helix (bHLH) factors	MyoD/ASC-related factors	Achaete-Scute-like factors
MA1631.1	ASCL1	basic helix-loop-helix (bHLH) factors	MyoD/ASC-related factors	Achaete-Scute-like factors
ATF1_HUMAN.H11MO.0.B	ATF1	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
ATF2_HUMAN.H11MO.0.B	ATF2	basic leucine zipper (bZIP) factors	Jun-related factors	ATF-2-like factors
MA1632.1	ATF2	basic leucine zipper (bZIP) factors	Jun-related factors	ATF-2-like factors
ATF3_HUMAN.H11MO.0.A	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
M07822_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
M07823_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
M07824_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
M07825_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
M08187_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
M08188_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
ATF4_HUMAN.H11MO.0.A	ATF4	basic leucine zipper (bZIP) factors	ATF-4-related factors	NA
MA0833.2	ATF4	basic leucine zipper (bZIP) factors	ATF-4-related factors	NA
ATF6A_HUMAN.H11MO.0.B	ATF6A	basic leucine zipper (bZIP) factors	CREB-related factors	ATF-6 factors
ATOH1_HUMAN.H11MO.0.B	ATOH1	basic helix-loop-helix (bHLH) factors	Tal-related factors	Neurogenin/Atonal-like factors
BACH1_HUMAN.H11MO.0.A	BACH1	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
M08184_2.00	BACH1	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
M08185_2.00	BACH1	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
M08186_2.00	BACH1	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
BACH2_HUMAN.H11MO.0.A	BACH2	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
M08065_2.00	BACH2	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
BATF_HUMAN.H11MO.0.A	BATF	basic leucine zipper (bZIP) factors	B-ATF-related factors	NA
M07821_2.00	BATF	basic leucine zipper (bZIP) factors	B-ATF-related factors	NA
MA1634.1	BATF	basic leucine zipper (bZIP) factors	B-ATF-related factors	NA
BATF3_HUMAN.H11MO.0.B	BATF3	basic leucine zipper (bZIP) factors	B-ATF-related factors	NA
MA0835.2	BATF3	basic leucine zipper (bZIP) factors	B-ATF-related factors	NA
MA0462.2	BATF::JUN	basic leucine zipper (bZIP) factors	B-ATF-related factors	NA
BC11A_HUMAN.H11MO.0.A	BC11A	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	BCL11
